0       ,   167                   
1       ,   161                   
2       ,   175                   
3       ,   162                   
4       ,   171                   
5       ,   166                   
6       ,   176                   
7       ,   171                   
8       ,   174                   
9       ,   158                   
10      ,    167                   
11      ,    167                   
12      ,    181                   
13      ,    185                   
14      ,    157                   
15      ,    171                   
16      ,    160                   
17      ,    164                   
18      ,    167                   
19      ,    156                   
20      ,    158                   
21      ,    166                   
22      ,    154                   
23      ,    158                   
24      ,    162                   
25      ,    168                   
26      ,    183                   
27      ,    165                   
28      ,    164                   
29      ,    161                   
30      ,    149                   
31      ,    159                   
32      ,    163                   
33      ,    145                   
34      ,    151                   
35      ,    154                   
36      ,    139                   
37      ,    149                   
38      ,    165                   
39      ,    160                   
40      ,    170                   
41      ,    155                   
42      ,    180                   
43      ,    174                   
44      ,    151                   
45      ,    148                   
46      ,    158                   
47      ,    153                   
48      ,    149                   
49      ,    150                   
50      ,    159                   
51      ,    161                   
52      ,    161                   
53      ,    152                   
54      ,    180                   
55      ,    163                   
56      ,    147                   
57      ,    161                   
58      ,    165                   
59      ,    140                   
60      ,    150                   
61      ,    138                   
62      ,    143                   
63      ,    161                   
64      ,    168                   
65      ,    163                   
66      ,    184                   
67      ,    171                   
68      ,    208                   
69      ,    194                   
70      ,    210                   
71      ,    192                   
72      ,    169                   
73      ,    168                   
74      ,    162                   
75      ,    166                   
76      ,    156                   
77      ,    173                   
78      ,    175                   
79      ,    168                   
80      ,    166                   
81      ,    167                   
82      ,    176                   
83      ,    177                   
84      ,    164                   
85      ,    173                   
86      ,    184                   
87      ,    194                   
88      ,    171                   
89      ,    164                   
90      ,    176                   
91      ,    168                   
92      ,    182                   
93      ,    186                   
94      ,    194                   
95      ,    190                   
96      ,    200                   
97      ,    191                   
98      ,    191                   
99      ,    181                   
100     ,     186                   
101     ,     173                   
102     ,     182                   
103     ,     185                   
104     ,     188                   
105     ,     177                   
106     ,     185                   
107     ,     167                   
108     ,     174                   
109     ,     169                   
110     ,     176                   
111     ,     181                   
112     ,     193                   
113     ,     189                   
114     ,     177                   
115     ,     178                   
116     ,     181                   
117     ,     180                   
118     ,     175                   
119     ,     172                   
120     ,     191                   
121     ,     202                   
122     ,     183                   
123     ,     175                   
124     ,     178                   
125     ,     169                   
126     ,     190                   
127     ,     182                 